establishment_number,upn,surname,forename,middlenames,preferred_surname,former_surname,gender,date_of_birth,enrol_status,entry_date,nc_year_actual,termly_sessions_possible,illness_authorised,medical_authorised,religious_authorised,study_leave_authorised,traveller_authorised,holiday_authorised,excluded_authorised,other_authorised,holiday_unauthorised,late_unauthorised,other_unauthorised,unknown_unauthorised
182880,1083b3b1-3a08-4daf-b0ec-245d6c2c0663,,,,,,M,,C,2015-09-01 00:00:00,9,122,,,,,,,,4,,,,
163040,e98eaf5c-7a92-4f11-8012-d71c33deeaeb,,,,,,M,,C,2014-04-29 00:00:00,7,126,5,,,,,,,2,,,3,
235827,f6777754-fce3-4372-bff9-0e178564ef1f,,,,,,F,,C,2013-09-02 00:00:00,7,128,,1,,,,,,,,,,
175409,c12c21aa-5947-47ac-a02c-e5670abbb3ab,,,,,,F,,C,2016-09-05 00:00:00,8,115,6,2,,,,,,,,,,
164450,4077ca72-9cb1-41ff-b190-e30702b46ec7,,,,,,M,,C,2017-09-05 00:00:00,7,121,3,,,,,,,3,,,,
168164,fd80207d-d6f9-4679-aaa3-0742b92a4996,,,,,,F,,C,2015-09-03 00:00:00,8,139,3,2,,,,,,,,,,
106635,78a69185-a9b0-4b27-bdd9-7e7a49d094ff,,,,,,F,,Leaver,2014-09-03 00:00:00,8,89,,,,,,,,,,,4,
139781,7883a56e-7ded-40e4-a074-e76e7ae0ecc6,,,,,,M,,C,2015-09-03 00:00:00,7,118,,,,,,,,2,,,,
186203,729828ba-4d3f-4c6e-8345-b2f9432ba913,,,,,,M,,C,2017-01-09 00:00:00,7,125,11,1,,,,,,2,,,,
208783,88ba367b-ab7d-4cba-818a-f18beab03824,,,,,,M,,C,2016-09-05 00:00:00,8,136,,1,,,,,,3,,,7,
160457,3c1acda8-b9ed-4da5-89ac-f9658506563b,,,,,,M,,C,2014-09-02 00:00:00,10,114,5,2,,,,,,,,,,
194726,3adf8902-d27d-4b83-a505-b63892f0c35d,,,,,,M,,C,2013-09-04 00:00:00,9,119,5,,,,,,,3,,,,
180018,684fc049-1c8a-4130-895d-0a81f73cdc6f,,,,,,M,,C,2013-09-03 00:00:00,8,120,5,,,,,,,,,,,
177841,6a395745-d812-41a1-89ea-84dbcaf4cd05,,,,,,M,,C,2014-09-03 00:00:00,10,132,,,,,,,,,,,,
207085,5b81310b-2230-4cdf-9864-fa779d1bbcdd,,,,,,F,,C,2015-09-01 00:00:00,8,128,9,,,,,,,3,,,,
109367,937bc40a-5511-4672-81a3-fcd7e15b694e,,,,,,M,,C,2016-09-05 00:00:00,10,124,8,,,,,,,,,,7,
172716,96f5724c-f5b0-4ae7-aaa0-80ead7f9dbba,,,,,,F,,C,2016-09-02 00:00:00,12,120,,1,,,,,,,,,,
183547,0fbae00f-1687-458b-92c9-fc5bf3cd1d8f,,,,,,F,,C,2013-09-05 00:00:00,9,137,,2,,,,,,,,,3,
189042,b8619779-7819-486a-acef-cabb47eb53ac,,,,,,M,,C,2013-08-31 00:00:00,11,130,,1,,,,,,,,,4,
172740,3a09db2c-ae05-43ea-a1eb-e0165a0096d2,,,,,,F,,C,2013-09-05 00:00:00,11,118,,2,,,,,,,,,,
229804,3853d362-a0cc-4379-b3d4-544616feade5,,,,,,M,,C,2017-09-01 00:00:00,8,120,4,,,,,,,,,,,
150033,1c2a4442-8b94-4e6e-ac49-365700e4d587,,,,,,F,,C,2015-09-28 00:00:00,7,127,5,,,,,,,1,,,,
240876,024b8d48-f727-4d37-84ed-8d9b2e481d81,,,,,,M,,C,2014-09-04 00:00:00,7,141,5,2,,,,,,,,,,
