establishment_number,upn,surname,forename,middlenames,preferred_surname,former_surname,gender,date_of_birth,enrol_status,entry_date,nc_year_actual,termly_sessions_possible,illness_authorised,medical_authorised,religious_authorised,study_leave_authorised,traveller_authorised,holiday_authorised,excluded_authorised,other_authorised,holiday_unauthorised,late_unauthorised,other_unauthorised,unknown_unauthorised
209212,e5687376-0818-493a-9169-b42e7a08c2cd,,,,,,M,,C,2016-09-01 00:00:00,8,120,,1,,,,,,,,,,
181714,b25c2393-54db-474b-aaa4-551ec59bedd3,,,,,,F,,C,2018-10-01 00:00:00,8,118,14,1,,,,,,,,,,
194017,4368f9dc-9ef4-4e69-9bd5-44fc6d403436,,,,,,F,,C,2018-09-07 00:00:00,10,103,13,,,,,,,,,,,
175823,4a2c2528-3e82-4029-ac3e-223ff32456da,,,,,,F,,Leaver,2018-09-05 00:00:00,10,95,,,,40,,,,,,,3,
218768,3d9868f4-ec7c-4d78-b907-e396c05a1b24,,,,,,M,,C,2016-09-05 00:00:00,9,116,,,,,,,,,,,3,
134784,91014d66-90fd-4eef-bc22-5794f1e84540,,,,,,F,,C,2014-09-02 00:00:00,11,97,13,,,45,,,,,,,3,
260440,20e3dc1b-a594-4fad-b887-b155b35b45b9,,,,,,M,,C,2017-09-06 00:00:00,11,116,,,2,,,,,,,,,
219159,1fbe669c-06bb-4d68-a92b-f7908356be1e,,,,,,F,,C,2008-01-15 00:00:00,10,113,,1,,,,,,,,,,
152556,aecb58f6-c90e-469b-9fb7-4276399ea856,,,,,,M,,C,2017-09-01 00:00:00,7,101,,,,34,,,,10,,,,
222838,7a4bad9f-8693-4417-9eee-33638d935ebd,,,,,,F,,C,2017-09-06 00:00:00,8,122,,2,,,,,,,,,,
123598,e40901c7-f4be-47f2-babb-35ce57862c29,,,,,,M,,Leaver,2018-09-10 00:00:00,7,98,,,,31,,,,,,,,
141160,278d23af-dc34-4c95-875f-70aebbedc480,,,,,,F,,C,2014-09-03 00:00:00,11,99,7,1,,,,,,,,,,
178330,26097081-efad-460f-a33e-592787d91f8a,,,,,,F,,Leaver,2009-04-20 00:00:00,10,92,2,,,28,,,,,,,,
193141,a99a6e56-ca63-4181-b272-2a4402bed04e,,,,,,M,,C,2015-09-03 00:00:00,12,93,,1,,20,,,,,,,1,
145362,e802ebb1-7d61-4111-b9bb-d2cf72270cb0,,,,,,F,,C,2018-09-05 00:00:00,10,105,,1,2,37,,,,4,,,,
152628,fba31848-60d8-48e4-8da5-abf8330575a3,,,,,,F,,C,2017-09-06 00:00:00,9,112,4,,,,,,,,,,9,
187832,baa4393d-4803-4612-9fb7-79ad7003e1d6,,,,,,M,,C,2018-09-04 00:00:00,11,110,,2,,35,,,,4,,,,
221973,c8040558-f07f-498e-b7f8-5bdec1007099,,,,,,F,,C,2018-09-03 00:00:00,8,120,,,,,,,,2,,,,
105362,3e6b7d8b-022f-415c-92ce-d9ae392bf4ae,,,,,,F,,C,2018-09-06 00:00:00,11,101,11,1,,37,,,,,,,,
227214,67bb10d3-6c21-4a1d-add2-c538a7b895bd,,,,,,F,,C,2013-09-05 00:00:00,12,67,,3,,40,,,,7,,,,
186115,9f92373f-dac7-4cd7-851c-9cd6ddee1ef5,,,,,,F,,Leaver,2015-09-04 00:00:00,11,105,11,1,,,,,,,,,,
276373,ef771a5c-befa-4ceb-ac44-332fbcc9401e,,,,,,F,,C,2016-09-05 00:00:00,10,120,,3,,,,,,6,,,,
193539,d8effba7-def7-426d-99e8-d861cab80cea,,,,,,M,,C,2016-09-05 00:00:00,12,95,,,,54,,,,,,,,
204370,79570119-07a0-46d9-ad73-c2c2ffd39e20,,,,,,M,,Leaver,2016-09-01 00:00:00,11,97,,1,,36,,,,,,,,
160607,0bfd0021-0f09-43da-89c0-e3bedc3482ca,,,,,,M,,C,2015-09-01 00:00:00,7,72,,,,43,,,,,,,,
247617,86f17a20-94c0-4f41-93fa-7e8d1d5cec7d,,,,,,M,,Leaver,2018-09-04 00:00:00,10,107,,2,,41,,,,,,,,
239332,1d5d2f74-f071-4b09-86ea-a32174e58ff8,,,,,,M,,C,2017-09-06 00:00:00,9,113,10,,,,,,,,,,,
187006,deda136d-1a90-4000-af3d-f587e1107520,,,,,,M,,Leaver,2015-09-04 00:00:00,12,90,,1,,,,,,3,,,,
178343,ea3ba125-fd03-4bb7-a90d-bb0309319e44,,,,,,M,,C,2016-09-01 00:00:00,Leaver,115,,,,48,,,,,,,2,
170353,102643bb-e10e-4c72-bc71-a5307431e88c,,,,,,M,,C,2017-09-06 00:00:00,10,117,4,1,,,,,,,,,7,
225086,badfb961-a920-47d8-b6b8-5e600db1ed56,,,,,,M,,C,2018-09-07 00:00:00,10,109,2,2,,,,,,4,,,2,
197448,e9f06d58-1212-42eb-9389-8f763c5a433c,,,,,,M,,C,2018-09-03 00:00:00,11,100,4,1,,,,,,,,,,
197806,55f2a8a4-aca9-4286-96aa-8670941c417f,,,,,,F,,Leaver,2016-09-05 00:00:00,8,119,5,1,,,,,,3,,,1,
147948,c2bb1741-8dd8-4cde-a05f-f4054691886c,,,,,,M,,C,2016-09-05 00:00:00,7,122,8,,,,,,,,,,,
198102,a8aec53b-14b0-45d9-9b07-ea1c57debb24,,,,,,F,,C,2017-09-06 00:00:00,8,109,3,,,,,,,,,,,
147194,a4948dbb-27fa-4059-9187-da973fdaeb6a,,,,,,M,,C,2017-09-06 00:00:00,10,113,5,1,,,,,,,,,,
210924,66d2f06d-0f7e-47dd-af55-6e84f9d7a490,,,,,,F,,C,2015-09-01 00:00:00,9,122,6,,,,,,,7,,,,
241475,1a72374c-4a61-439a-961e-6ac94869c6fb,,,,,,F,,C,2015-09-28 00:00:00,11,114,2,1,,,,,,,,,,
168181,6c29211a-4b63-4719-82d8-2230c17f789a,,,,,,F,,C,2014-09-04 00:00:00,12,97,2,1,,32,,,,2,,,,
182853,ed7dfa93-463e-410d-8f1a-3f5bcefef876,,,,,,F,,C,2018-09-10 00:00:00,Leaver,94,,1,,39,,,,,,,,
119324,70b098cf-4885-4c91-8f8c-8640a5f9504b,,,,,,F,,C,2014-09-03 00:00:00,Leaver,111,,,,,,,,,,,,
196281,c25b67e9-8d54-40f0-bacf-35797d25d78a,,,,,,F,,C,2017-09-04 00:00:00,8,121,3,,,,,,,,,,,
127943,a17ae91e-e348-4345-9eea-a3ad17a99fec,,,,,,F,,C,2017-09-06 00:00:00,11,102,8,,,,,,,,,,,
179298,e5e592d3-eda2-49bc-9046-58fe388eb725,,,,,,F,,C,2017-09-06 00:00:00,8,119,,2,2,,,,,,,,,
157611,63f16b50-177f-41f2-a130-b944ff8b8940,,,,,,M,,C,2018-09-07 00:00:00,10,109,6,,,40,,,,,,,,
145368,b6e82399-c4c7-480e-92fe-9fee499ffe68,,,,,,F,,C,2017-09-06 00:00:00,11,107,2,,,,,,,4,,,,
140123,92287ff0-65aa-4fd5-a07f-29548d95fc1a,,,,,,F,,C,2015-09-04 00:00:00,11,119,7,1,,,,,,,,,,
196836,27a03185-576b-4be0-b375-d3e4dce9bbba,,,,,,M,,C,2017-10-02 00:00:00,9,121,8,1,,,,,,,,,,
229146,a588c57a-04b6-4937-b0c3-34a35a4606a7,,,,,,F,,C,2017-09-06 00:00:00,10,119,4,1,,,,,,3,,,,
200349,b93a449f-ce4e-493a-be85-96a6fdae0f8e,,,,,,F,,C,2018-09-05 00:00:00,9,113,4,1,,,,,,,,,7,
194648,52a7d4ee-bb72-4bb1-8870-c67c92485ea8,,,,,,M,,C,2018-09-06 00:00:00,Leaver,114,,,2,42,,,,,,,,
217900,066d898d-6824-4f56-9e04-8a9344f86dac,,,,,,F,,C,2016-09-05 00:00:00,8,116,4,1,,,,,,,,,,
218889,d567d441-9b2d-4c55-b943-b71590a8f70f,,,,,,M,,C,2014-09-01 00:00:00,9,114,3,,,,,,,,,,4,
243789,226f001a-5446-4154-9bc6-efe277295712,,,,,,M,,C,2015-09-02 00:00:00,10,76,,,,36,,,,3,,,,
162769,e3abefff-95ab-4c42-9649-33ca8b3dec8a,,,,,,M,,C,2018-09-05 00:00:00,Leaver,84,2,,,,,,,,,,,
260237,9f382ffe-057e-42aa-8fc6-6039c1989288,,,,,,M,,C,2018-09-06 00:00:00,Leaver,99,7,,,,,,,3,,,,
207004,67587917-1992-4447-a0f8-b677ab0bcaa4,,,,,,F,,C,2016-09-05 00:00:00,11,114,,,,,,,,2,,,,
139410,2d12fc53-509c-4993-907d-d241a2e1f7a7,,,,,,F,,C,2015-09-04 00:00:00,10,92,2,,,35,,,,9,,,,
151887,f259bfd9-7a58-447e-9957-447b889f02d2,,,,,,F,,C,2019-04-23 00:00:00,11,112,15,,,,,,,,,,,
185401,ec1228f2-883a-454e-a053-afd561ea4a98,,,,,,F,,Leaver,2016-09-02 00:00:00,Leaver,92,,,,23,,,,12,,,,
227657,774fdce2-997f-42d4-ac14-b8d560d54b19,,,,,,F,,C,2017-09-04 00:00:00,Leaver,95,,,,31,,,,,,,,
140756,d36482c0-796d-45cb-aa7d-30e5715fef18,,,,,,M,,C,2018-10-29 00:00:00,8,59,,,,51,,,,,,,,
178357,7e8c1ca8-4e7b-42fd-88ff-2306e101c555,,,,,,M,,C,2017-09-06 00:00:00,10,117,4,2,,,,,,,,,,
251205,aabc4c65-9ef2-4dda-b359-296ce7bb9298,,,,,,F,,C,2018-09-10 00:00:00,9,90,,3,,38,,,,,,,,
170068,acb40cce-ec33-4651-be34-dca4fb8564aa,,,,,,M,,C,2018-09-07 00:00:00,9,115,12,,,,,,,,,,,
186596,7f50fa8f-86aa-45bd-bee0-4c2cdb9feb57,,,,,,M,,C,2014-09-03 00:00:00,11,92,9,,,,,,,,,,,
171420,d9a843c6-ddc5-4b62-8e2f-186ae929ae7d,,,,,,F,,Leaver,2014-09-03 00:00:00,Leaver,86,,,,35,,,,,,,,
169174,c2f490f5-7812-432b-8b1e-233b4090c228,,,,,,M,,C,2014-09-02 00:00:00,10,111,11,,,,,,,,,,14,
152312,bcfcb045-cee7-4184-ac65-6506ed3af57b,,,,,,M,,C,2018-09-25 00:00:00,10,99,,1,,42,,,,,,,,
209876,6c8c18db-44aa-4440-9d73-f7d350e7b175,,,,,,M,,C,2018-09-04 00:00:00,8,120,8,,,,,,,,,,,
163384,a57a30fd-cc40-4a7a-af2a-194dbccafbb6,,,,,,M,,Leaver,2018-04-23 00:00:00,11,106,7,,,,,,,,,,,
208928,7b9f44b3-b721-4948-9b38-225934bec437,,,,,,F,,Leaver,2019-05-07 00:00:00,Leaver,97,,1,,26,,,,,,,,
203872,5c8a2c11-fdcd-4338-ab46-25de7aeb9017,,,,,,M,,C,2016-09-05 00:00:00,9,105,5,1,2,36,,,,,,,,
144177,44e3ebc6-7981-41ce-8202-21d8ec9d0b2b,,,,,,M,,C,2017-09-06 00:00:00,8,111,5,2,,,,,,,,,,
147957,ea46d809-ee45-4d60-9195-65314d01cb4e,,,,,,M,,C,2015-09-01 00:00:00,Leaver,90,6,,,,,,,,,,,
