candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,post_looked_after_arrangements,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_english_pathway_flag,pupil_level_science_pathway_flag,maths_exclude_previous_school,english_exclude_previous_school,science_exclude_previous_school
,,,,F,,15,401,0,710202889,,739d9962-3e63-40ba-b0b2-1c69058b7557,K,0,0,0,0,2,4,APKN,0,,,Y,,5,7,1,1,1,,,,1,,,,,,,,,,,,,,3,6,2,1,2,8,5,3,3,1,,13,8,1,3,3,4,3,4,30,2,2,,,,,,5,,10,,11,1,,,,,,,0,0,0,0,0
,,,,M,,15,401,1,726451713,,272e10d2-4d07-4741-a3cb-0d7828a9e377,N,0,0,0,0,2,3,APKN,0,Y,,Y,,6,9,1,1,1,,1,1,1,,1,,1,1,,,1,,1,,,,5,5,3,3,3,5,5,6,0,9,4,10,6,4,5,5,5,4,4,38,3,3,0,0,,1,-1,12,0,14,0,16,0,4,0,,,4,0,0,0,0,0,0
,,,,M,,15,401,1,793074026,,ee14cc0b-042a-4a57-a460-e705552134b2,N,0,0,0,0,1,3,WBRI,0,,,Y,Y,9,9,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,5,5,4,5,5,5,7,6,5,2,5,9,14,7,6,6,6,4,3,61,3,2,0,0,,0,0,22,0,16,0,18,2,6,0,6,0,,,0,0,0,0,0
,,,,M,,15,401,1,607270326,,f23a0314-293c-4dd6-81cd-9a9437519e7a,N,0,0,0,0,1,3,APKN,0,Y,,Y,Y,7,9,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,,,,3,3,2,3,4,3,7,2,5,10,5,3,11,4,4,4,5,2,3,46,2,2,-1,-1,,-2,-2,13,-1,14,-1,10,1,,,,,6,-2,0,0,0,0,0
,,,,M,,15,401,1,766333672,,641ec110-dba5-414d-b2b8-519967452b61,N,0,0,0,0,2,3,WBRI,0,,,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,5,5,5,5,6,4,8,6,7,6,5,11,16,7,7,6,9,8,5,71,3,3,0,0,,-1,0,21,0,24,0,23,1,6,0,5,0,4,0,0,0,0,0,0
,,,,F,,15,401,1,770575283,,e8e6839c-6b23-47c2-9625-8738164f5054,N,0,0,0,0,1,4,WBRI,0,Y,Y,,,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,5,5,9,9,9,9,8,9,5,18,18,10,9,8,10,9,9,91,3,3,3,3,,4,2,28,3,27,3,27,0,7,3,7,2,6,1,0,0,0,0,0
,,,,M,,15,401,1,702182709,,110459a1-495d-4d31-b56b-0916e74e78d3,N,0,0,0,0,1,2,WBRI,0,,,Y,,7,8,1,1,1,1,1,,1,,1,,,,,,1,1,,,,,4,4,5,5,3,6,8,2,2,5,5,12,15,4,2,3,6,2,4,44,2,3,0,0,,-1,0,9,-1,15,0,17,0,4,0,4,-1,4,0,0,0,0,0,0
,,,,F,,15,401,1,782974836,,e06b2f5f-e89f-48cb-bb1c-033fba3255c7,K,1,0,0,1,2,2,AIND,0,,,Y,Y,8,8,1,1,1,1,,,,1,1,1,,1,1,1,,,1,,,,5,4,5,4,4,6,5,4,5,2,5,14,10,6,4,2,4,6,6,54,2,2,1,1,,0,0,16,1,15,1,6,6,4,1,5,2,5,1,0,0,0,0,0
,,,,M,,15,401,1,750886679,,8bec84d0-d561-47e8-891b-344ce47224be,N,0,0,0,0,1,2,WBRI,0,,,Y,Y,10,8,1,1,1,,1,1,1,1,1,1,1,,1,,,1,,,,,5,5,5,5,6,8,7,6,3,5,5,13,15,7,8,7,7,6,4,69,3,3,1,1,,0,1,20,1,19,1,14,8,6,1,6,0,4,0,0,0,0,0,0
,,,,F,,15,401,1,823227391,,f4d0f821-652d-47e3-b229-d3f64c1685d7,N,1,0,0,1,1,2,APKN,0,,,Y,,8,6,1,1,1,,1,,1,1,1,,1,,,,,,,,,,5,4,5,5,4,4,2,4,0,1,5,10,6,5,4,3,6,5,6,54,3,3,0,-1,,0,-1,15,-1,18,0,5,5,6,-1,,,5,-1,0,0,0,0,0
,,,,M,,15,401,1,752295355,,2580b141-e54e-4084-8533-26a8b09907a6,N,0,0,0,0,1,3,ABAN,0,Y,Y,Y,Y,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,5,5,8,6,8,8,8,7,5,15,17,10,8,7,8,5,4,86,3,3,2,2,,1,3,27,3,22,1,21,2,5,4,4,1,4,1,0,0,0,0,0
,,,,F,,15,401,1,773728225,,37815bf1-1abd-4587-abff-a164f584262b,N,0,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,10,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,4,4,4,7,8,9,8,5,6,5,13,16,9,7,6,7,7,8,77,3,3,0,0,,0,0,25,0,22,0,22,1,6,1,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,618110452,,70382542-786a-4ae8-a93d-2765e08846a5,N,0,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,8,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,4,3,4,5,4,4,8,6,8,5,5,4,14,5,7,6,5,5,2,44,2,2,0,0,,-1,0,17,0,12,0,9,0,7,1,7,1,5,0,0,0,0,0,0
,,,,F,,15,401,1,725520083,,f17b6a0f-1697-461e-adca-a690d05fec79,N,0,0,0,0,1,3,WENG,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,6,3,3,8,3,8,8,8,8,5,7,16,10,8,7,9,7,7,79,3,3,0,0,,-1,0,27,2,24,0,24,2,6,1,6,0,5,0,0,0,0,0,0
