candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_science_pathway_flag
,,,,F,,15,401,1,758138348,,81720554-a0eb-46f5-b5f7-788d952226b5,K,0,0,0,1,2,WBRI,0,,,Y,,9,8,1,1,1,1,1,1,1,,,,,,,,1,1,,,4.538461538,4.303030303,4,5,5,5,5,7,3,7,2,3,5,17,11,7,8,5,6,4,5,69,3,2,0,0,,0,0,20,1,21,0,22,0,6,1,6,-1,5,0,0
,,,,M,,15,401,1,680051688,,b30e0b24-24d8-4628-ad80-891c841ea397,N,0,0,0,2,3,WOTH,0,,,Y,Y,7,7,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,5.473684211,5.909090909,5,4,4,5,3,5,7,4,5,5,5,8,12,5,6,7,5,2,1,50,3,2,0,0,,-1,0,15,0,10,-1,6,2,7,1,5,0,5,0,0
,,,,F,,15,401,1,766600407,,32f7a272-0516-4ac3-bdfa-9f7efd28ba35,N,0,0,0,1,3,WOTH,0,Y,Y,Y,Y,8,9,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,,4.846153846,5.772727273,6,3,2,2,5,8,8,3,5,3,4,14,11,5,3,3,6,5,6,55,2,3,1,0,,0,0,13,0,15,1,5,5,,,,,,,0
,,,,M,,15,401,1,745649456,,ebecee6b-2d44-43bc-909b-45f433afef57,N,0,0,0,1,3,APKN,0,Y,,,,9,9,1,1,1,1,1,1,1,1,1,,,,,,1,1,,,5.315789474,5.181818182,4,5,5,5,6,6,6,5,8,4,5,12,13,8,7,6,6,6,4,68,3,3,0,0,,0,0,23,0,21,0,18,2,5,0,6,0,5,0,0
,,,,F,,15,401,1,732293367,,3a7b2889-1c35-419f-b6ce-311890632e2f,N,0,0,0,1,3,WBRI,0,,,,Y,7,7,1,1,1,,,,1,,,,,,,1,,,1,,4.461538462,4.939393939,4,4,4,4,1,4,4,2,3,0,4,7,7,3,2,2,3,3,2,35,3,2,0,0,,0,0,6,0,8,0,6,2,4,0,,,,,0
,,,,M,,15,401,1,796601685,,bc3d02f4-0b21-47d5-8f72-59f8aa636510,N,0,0,0,2,4,WBRI,0,Y,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,4,4,5,9,8,9,8,9,10,5,16,18,9,8,7,8,7,8,89,2,3,1,1,,1,1,26,1,25,1,25,0,7,1,7,1,6,2,0
,,,,F,,15,401,1,763736659,,a7c0360b-9b74-4309-bedc-0b0044145c8b,N,0,0,0,1,3,MWBC,0,Y,Y,Y,,10,11,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,5.473684211,5.818181818,,4,3,3,6,6,7,8,8,4,5,12,14,9,8,6,5,6,7,69,3,3,0,0,,-2,0,23,0,20,-1,18,1,6,0,6,0,5,1,0
,,,,F,,15,401,1,770525922,,45aa8742-905c-4919-927b-4ce07f036cf8,K,0,0,0,1,2,WBRI,0,Y,Y,Y,Y,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4.692307692,5.363636364,,5,5,4,5,7,7,6,7,5,5,14,13,5,7,4,8,6,5,67,2,2,1,1,,1,1,17,1,23,1,23,0,6,0,6,1,5,1,0
,,,,F,,15,401,1,759748181,,70efe528-09a0-494b-976e-5e0254e11583,K,0,0,1,1,2,WBRI,0,,Y,,,5,4,1,1,1,1,,,1,1,1,,,,,,,,,,4.230769231,4.363636364,3,4,2,2,0,5,2,0,3,0,3,7,5,2,0,0,0,3,3,17,2,3,0,0,,0,0,3,-1,8,0,1,11,3,-2,3,0,,,0
,,,,M,,15,401,1,589809607,,88388846-7566-4d08-8cb1-65148862e0a3,N,0,0,0,1,1,WBRI,0,,,Y,,4,6,1,1,,1,,,,,,1,,,,1,,,,,5.789473684,4.393939394,6,6,5,5,1,4,2,0,2,0,4,8,5,3,1,1,1,0,0,17,2,2,-1,-1,,-1,0,4,-1,2,-2,3,0,5,-1,4,0,,,0
