Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,TermlySessionsAuthorised,TermlySessionsUnauthorised,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
215513,59eb64cb-68d1-47b4-baf2-edfd9cb38d7f,,,,,,M,,C,2016-09-05 00:00:00,7,140,,,3,1,,,,,,,,,,
193633,f709803d-d9c4-4229-8f72-820016503366,,,,,,M,,C,2016-09-01 00:00:00,7,132,,,3,2,,,,,,,,,,
181196,c0c26e32-e11b-464f-8931-f412ff3fb19f,,,,,,F,,C,2012-09-06 00:00:00,Leaver,134,,,,,,,,,,,,,,
177260,f41719c1-5b8e-46e9-9a19-6451527bee40,,,,,,M,,C,2015-09-04 00:00:00,7,136,,,,2,,,,,,,,,6,
233138,5fb907be-b89f-4987-b2be-04d3ae63e14e,,,,,,F,,Leaver,2015-11-23 00:00:00,10,141,,,,3,,,,,,2,,,,
158277,cbb22fd8-a53d-4531-a941-2f58331dae53,,,,,,F,,C,2013-09-05 00:00:00,7,125,,,10,,,,,,,,,,,
227872,22b1bbda-865e-4360-b907-e367c1fac6db,,,,,,F,,C,2014-09-01 00:00:00,10,144,,,4,1,,,,,,,,,,
119395,9a11ef16-64f9-4598-a653-9b118cba31b2,,,,,,F,,C,2012-09-05 00:00:00,10,132,,,7,1,,,,,,,,,,
170144,624ac08e-29e4-4930-b8be-71f90024a89f,,,,,,F,,Leaver,2016-09-05 00:00:00,10,119,,,,1,,,,,,,,,,
184182,6e36c7e2-93d5-4ab2-a98b-3d18ae3396a2,,,,,,M,,C,2014-09-03 00:00:00,7,133,,,,,,,,,,,,,,
205043,3c64b646-a45b-451b-9be5-80c167aaa5cc,,,,,,F,,C,2016-09-02 00:00:00,7,121,,,13,,,,,,,,,,4,
137721,b4eaa07f-ed78-499a-9fae-3eb0a81f9228,,,,,,M,,C,2014-09-05 00:00:00,7,139,,,,,,,,,,3,,,,
224015,4d0b17e0-4c3a-4564-9860-cca4d315d8bc,,,,,,M,,C,2015-06-08 00:00:00,Leaver,130,,,,,,,,,,,,,,
214030,ad7431b8-fac6-42b8-a937-fb7bfae73138,,,,,,F,,Leaver,2016-09-01 00:00:00,9,142,,,12,2,2,,,,,,,,,
217784,8eb87391-22f8-4e8f-a196-3d32c5fd1b25,,,,,,M,,Leaver,2015-09-03 00:00:00,10,111,,,,,,,,,,,,,,
166683,66277005-c24f-46b2-b135-48c1610aec5f,,,,,,F,,C,2015-09-03 00:00:00,7,132,,,,2,,,,,,,,,,
187293,f4bbf525-efaa-4f5d-a37f-6aaa077fb7db,,,,,,F,,C,2014-09-04 00:00:00,11,130,,,9,1,,,,,,,,,,
178082,9f3d1fc1-7a8f-489a-92e1-cf398ed743f2,,,,,,M,,C,2014-09-03 00:00:00,9,129,,,8,,,,,,,,,,,
236992,c68d2771-7c95-47b6-a7ee-1a1dcfa6aa21,,,,,,M,,Leaver,2016-09-01 00:00:00,Leaver,140,,,,1,,,,,,2,,,,
186734,a32a1283-506e-4877-90e6-4e0304eb5e50,,,,,,F,,C,2015-09-04 00:00:00,10,134,,,,,,,,,,2,,,,
154347,884c0010-27d6-4ea5-871c-05902be5fe18,,,,,,F,,C,2016-09-01 00:00:00,10,139,,,4,,,,,,,2,,,5,
159622,a67d534a-5caf-48f9-89ed-2254e38af8dd,,,,,,F,,C,2013-05-13 00:00:00,7,140,,,,,,,,,,,,,,
215526,7f880af7-60a1-4bdc-a838-4d6fa0cef818,,,,,,M,,C,2014-09-05 00:00:00,10,123,,,5,,2,,,,,,,,6,
198849,4387d5b1-5279-4993-a85e-1d9d2c92271f,,,,,,M,,C,2012-09-03 00:00:00,10,135,,,,2,,,,,,2,,,,
178136,7c2aa149-7b11-4f23-a5a6-d0a99950acbc,,,,,,F,,C,2014-09-03 00:00:00,Leaver,136,,,11,1,2,,,,,,,,,
173414,cbb229e2-33ed-425e-a3bd-7e8e95182cfb,,,,,,M,,C,2015-09-01 00:00:00,9,133,,,2,,,,,,,3,,,,
200687,65003ed7-b0b1-4731-ae57-42092ee7a2f1,,,,,,F,,C,2016-09-05 00:00:00,8,134,,,,,,,,,,,,,,
183309,689b5745-ac85-427e-b168-2543bd9f47a5,,,,,,M,,C,2015-09-03 00:00:00,7,135,,,10,,,,,,,3,,,9,
233350,e22db7ac-40de-489c-9866-e37ee8a72789,,,,,,M,,C,2014-09-03 00:00:00,9,129,,,15,2,,,,,,,,,,
169752,3de846ff-5594-4076-ac8b-40fe08bc284f,,,,,,F,,C,2015-09-01 00:00:00,8,141,,,,,,,,,,,,,,
198427,b541b23d-893c-4339-a7ca-452384845f72,,,,,,F,,C,2015-09-03 00:00:00,9,129,,,2,,,,,,,,,,,
216194,a5279e29-2b61-47b2-9777-0ec3fcf82e7a,,,,,,M,,C,2015-02-25 00:00:00,12,114,,,2,,,,,,,,,,,
