Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Post Looked After Arrangements,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc 9-4?,English Bacc 9-5?,English and maths GCSEs 9-4?,English and maths GCSEs 9-5?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc 9-4,Achieved English EBacc 9-5,Achieved Maths EBacc 9-4,Achieved Maths EBacc 9-5,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,Entered all three core science pathway subjects,KS2 Reading TA level,KS2 Mathematics TA level,KS2 Reading PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,F,,15,401,1,820741559,,cac36e59-50e2-46b0-9256-9eed1acbd5be,N,0,0,0,0,2,3,WBRI,0,0,,,Y,,12,9,1,1,1,1,,,1,,,,,1,,,,,,,2,3,5,12,12,3,6,2,6,6,5,54,3,3,0,0,0,12,0,17,0,18,7,4,6,0,4,-1,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,775634733,,09bfe491-ef2c-434b-8865-fd26b34635d1,N,0,0,0,0,2,3,APKN,0,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,4,5,18,14,7,7,6,8,8,8,78,3,3,2,4,1,21,0,22,1,24,0,6,5,6,6,1,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,697338641,,99980f26-c3f5-4dc4-ab5b-d1d752415478,K,0,0,0,0,2,2,APKN,0,0,,,,,7,8,1,1,1,,,,,,,,,,,,,,5,4,4,3,3,8,1,0,2,0,2,2,1,13,2,2,0,0,-1,1,0,6,0,4,1,1,0,0,2,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,692463358,,d300f5bd-86d5-442b-b103-0850a94d4cd2,K,0,0,0,0,1,2,WBRI,0,0,,,,,6,7,1,1,1,1,1,,,,,,,,,,,,5,6,4,4,4,5,12,4,3,4,2,2,1,24,2,2,-1,0,0,9,-1,4,-2,2,5,3,4,4,4,-1,5,0,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,819013241,,eb62adda-13c8-483d-90a4-68ebdb6c58a0,N,0,0,0,0,1,3,APKN,0,0,Y,,Y,,12,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,5,3,4,4,16,16,10,6,7,8,8,7,79,3,3,2,0,2,25,2,24,2,16,4,7,7,3,3,1,3,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,539663957,,746a1204-ab36-4163-8f33-b2bc7486ddcf,N,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,5,8,,1,,1,1,1,,,1,1,,1,1,1,,,5,5,4,4,5,4,10,1,3,4,2,3,4,21,2,2,0,-2,0,2,0,8,0,4,3,1,7,7,,,6,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,809893745,,e1d9156b-da4a-4b69-95a6-604af492ccca,N,0,0,0,0,2,2,MWAS,0,0,,,Y,,9,9,1,1,1,1,1,,1,1,1,1,1,1,,,,,5,4,4,4,5,7,14,6,5,5,7,7,6,64,3,3,0,0,0,18,0,21,1,15,6,4,4,3,5,0,6,1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,746372650,,dd0b4d15-7d12-4b4e-8f4b-e36ccab40995,N,0,0,0,0,1,2,AIND,0,0,Y,Y,,Y,10,10,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,4,5,5,5,5,14,16,9,8,7,6,7,7,80,3,3,1,0,2,25,2,23,1,15,1,8,5,6,6,2,6,2,6,2,0,0,0,0,0,0
,,,,F,,15,401,1,707759330,,b1f6f245-de7e-4a0c-bb64-c0b0630455f0,K,1,0,0,1,1,1,WBRI,0,0,,,Y,,7,8,1,1,1,1,,,1,,1,1,,1,,,,,5,5,5,5,4,2,9,3,2,0,4,4,2,30,2,2,-1,-3,0,5,-1,12,0,10,4,2,3,0,5,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,775061536,,5b21d3f1-6fe4-4e30-a834-0affc92cd0a1,N,1,0,0,1,1,3,WBRI,0,0,,,Y,Y,10,8,1,1,1,,,,1,1,1,1,,,,,,,4,4,4,4,5,17,8,5,6,1,8,5,5,65,2,3,0,1,0,15,-1,20,0,14,4,4,3,0,5,0,,,,,0,0,0,0,0,0
