Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Has the pupil been adopted from care?,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc?,English & maths GCSEs A*-C?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc,Achieved Maths EBacc,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,KS2 English level (finely graded),KS2 Mathematics level (finely graded),KS2 English TA level,KS2 Mathematics TA level,KS2 English PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Entered all three core science pathway subjects,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,'EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,'EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,'EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,M,,15,401,1,772259576,,d8eb02cb-4568-4666-a2bf-28a12234eb17,N,0,0,0,0,1,2,WBRI,0,0,,,7,6,1,1,,1,,,,,,1,,,,5.42,4.59,5,5,25,24,4,5,5,3,1,0,4,2,1,30,2,2,-1,0,-1,5,-1,8,-1,5,2,,0,2,0,,,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,824344365,,0df44ffb-0d76-4ba1-98a4-042e0b2c224a,N,1,0,0,0,1,3,WBRI,0,0,,Y,13,10,1,1,1,1,1,,1,1,1,1,,,,5,5.21,5,5,32,30,5,10,15,7,4,5,8,8,7,76,3,3,1,1,2,21,0,25,2,21,5,,6,2,1,5,0,6,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,732330697,,8692d648-d740-4238-8d49-4635d2bd8700,N,0,0,0,0,2,3,WBRI,0,0,,Y,10,8,1,1,1,,,,1,1,1,,,,,5.19,5.75,4,4,23,25,5,10,14,7,5,4,7,6,7,67,3,3,0,0,1,20,0,20,0,11,11,,6,4,2,6,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,743440977,,1a2c7684-a4ab-4f10-894b-7ced5af60a94,N,0,0,0,0,1,3,APKN,0,0,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,1,,,5.35,5.79,,4,15,14,4,10,14,8,7,6,8,9,7,74,3,3,1,1,1,24,1,25,2,25,2,,7,7,3,5,0,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,775965239,,a87d34d1-1bd5-46b4-aaa1-89b876a3dc9c,K,0,0,0,0,1,2,WBRI,0,0,,,7,6,1,1,,,,,1,,,,,,,4.83,4.38,4,2,23,21,4,4,2,0,0,0,3,3,2,10,1,2,-1,0,-1,0,-1,9,-1,5,5,,0,3,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,766725389,,5d48afee-4513-4cf9-8288-224e724f9608,N,0,0,0,0,2,3,WBRI,0,0,,Y,9,10,1,1,1,1,1,,1,,,,1,,1,4.41,4.34,3,3,18,18,4,12,11,6,6,5,6,5,6,55,3,3,0,0,0,17,0,18,0,16,8,,4,4,5,4,0,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,703579153,,d7fe0ec2-1042-40cd-93b4-d121b34ff53d,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,9,11,1,1,,1,1,1,1,1,1,1,1,,,4.79,5.38,4,5,25,29,4,9,14,4,4,4,3,4,4,45,2,2,0,-1,0,12,0,12,-1,6,1,,4,3,7,,,4,0,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,652709717,,1f7606c5-1d89-40cc-8dbd-594e8d1f7565,N,1,0,0,1,1,2,WBRI,0,0,,,7,8,1,1,,1,,,,,,,,,,5.13,3.07,5,5,34,33,5,10,8,2,2,2,3,3,2,32,2,2,-1,0,-1,6,-1,7,-1,13,0,,2,3,0,6,0,4,1,,,0,0,0,0,0,0
,,,,F,,15,401,1,813883511,,e57a5dd2-b1d7-4a21-a272-f0f14af91f8e,N,0,0,0,0,1,3,WBRI,0,0,,Y,10,9,1,1,1,1,,,1,1,1,,,,,4.07,1.5,5,W,34,34,5,13,4,6,3,1,7,7,6,62,2,3,0,0,0,18,-1,21,0,21,1,,1,3,1,4,0,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,671719536,,4eef6164-60ce-45fc-85d6-29acfddeeb3c,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,9,12,1,1,1,1,,1,,1,1,1,,1,,4.55,4.41,5,5,28,29,5,14,15,5,7,6,6,5,5,66,3,2,0,0,0,17,1,17,0,14,2,,6,8,3,6,1,5,0,,,0,0,0,0,0,0
