Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,TermlySessionsAuthorised,TermlySessionsUnauthorised,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
146110,ca013a90-8dc9-41c2-912f-33168b17c14a,,,,,,M,,C,2014-09-04 12:00:00,8,121,,,13,2,,,,,,3,,,,
180217,f40cabae-02f5-4957-b3ae-db047729b439,,,,,,M,,Leaver,2013-09-04 12:00:00,9,141,,,11,,,,,,,2,,,,
212285,80e2aea8-1e81-44e7-b841-dba0b76ffb16,,,,,,M,,C,2013-09-05 12:00:00,11,136,,,4,,,,,,,,,,4,
160315,729ba65c-8a42-4944-ba09-071639dd8618,,,,,,M,,Leaver,2012-09-06 12:00:00,8,127,,,,,,,,,,,,,,
173290,4e57195d-f9f2-4228-8df7-f43d694e1b6a,,,,,,F,,Leaver,2012-09-06 12:00:00,10,138,,,,,,,,,,,,,,
197051,85d09780-69f0-4399-b51f-0da5e065cead,,,,,,M,,C,2014-09-04 12:00:00,11,130,,,,2,,,,,,3,,,,
122573,35492d9c-3406-45b0-bba3-dd4f1344fcdf,,,,,,M,,C,2013-09-05 12:00:00,8,132,,,8,1,,,,,,,,,,
251450,783f5fb6-2449-4d4f-88b5-cee8165c70b4,,,,,,F,,C,2011-09-01 12:00:00,7,128,,,,2,,,,,,2,,,,
194676,71652ccb-87ad-4bf9-9556-f34dd917f03f,,,,,,F,,Leaver,2014-09-03 12:00:00,7,125,,,,,,,,,,,,,4,
158693,516aee53-682a-43c1-8ba2-0bc57a8d9ff4,,,,,,F,,C,2013-09-05 12:00:00,9,141,,,8,,,,,,,2,,,,
177450,546aef5c-6f63-4cb1-a364-1d314a323186,,,,,,M,,C,2012-09-06 12:00:00,8,124,,,,,,,,,,2,,,,
200773,2f43dc46-8399-4f52-82b9-17fc6a4cf8f1,,,,,,M,,C,2014-09-05 12:00:00,9,129,,,,,,,,,,2,,,4,
118760,345fff9e-ba14-46c4-9cc6-e62854b1a4a1,,,,,,M,,C,2013-09-05 12:00:00,7,115,,,9,,,,,,,3,,,4,
131966,e3fd00d9-5d9a-443a-bc13-1e05866c27a1,,,,,,F,,M,2010-09-02 12:00:00,7,128,,,,,,,,,,,,,,
164532,17dfeea9-fa1c-42a0-bacf-4fbf0e07ee73,,,,,,M,,C,2011-09-05 12:00:00,11,100,,,,,,,,,,3,,,5,
177872,3d4aab41-2ca6-4ef5-be8b-2c85ba1eab4a,,,,,,M,,C,2013-09-05 12:00:00,9,130,,,6,,,,,,,2,,,4,
184585,57ab95a8-e76e-4ea8-8266-db1d3793e02f,,,,,,F,,C,2013-09-05 12:00:00,11,116,,,8,,,,,,,2,,,,
203852,3cdc4465-032c-4de2-bac8-5faec18ce9a0,,,,,,F,,C,2013-09-23 12:00:00,8,136,,,7,,,,,,,2,,,,
222329,d5319c62-1e10-4b03-a597-4de9af108949,,,,,,M,,C,2014-09-03 12:00:00,11,125,,,,,,,,,,2,,,5,
168720,ffda24d6-7675-4e05-9398-22e14779420d,,,,,,F,,C,2014-09-01 12:00:00,8,142,,,4,2,,,,,,2,,,4,
143708,0161b5d9-f525-4652-bea2-0df736087c04,,,,,,M,,C,2014-09-04 12:00:00,9,143,,,,2,,,,,,,,,,
