DatabaseId,LEACode,DateOfSend,PeriodEnd,SupplierName,SupplierXMLVersion,XMLSchemaVersion,YoungPersonsID,CohortStatus,GivenName,MiddleName,FamilyName,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Town,County,Postcode,Gender,month/year of birth,Ethnicity,LeadLEA,EducatedLEA,UniqueLearnerNo,UniquePupilNumber,PreviousYPIDIdentifier,GuaranteeStatusIndicator,LEACodeAtYear11,TransferredToLACode,LevelOfNeedCode,SENDFlag,SENSupportFlag,CharacteristicCode,ActivityCode,StartDate,DateAscertained,DateVerified,DueToLapseDate,CurrencyLapsed,EstablishmentNumber,EstablishmentName,UKProviderReferenceNumber,PredictedEndDate,NEETStartDate,ReviewDate,IntendedDestinationYr11
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,94320405-2c44-48d5-9b4c-32b4042e0e0a,P,,,,,,,,,,,M,02/2002,WBRI,825,893,,c9a84e4d-0ff1-4482-9aa4-ac35922fef0d,,N,,,3,N,N,,359,2019-09-06 00:00:00,2019-09-20 00:00:00,2020-01-06 00:00:00,2020-08-31 00:00:00,Y,932187756,,,,2019-11-01 00:00:00,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,91c7740d-51b7-4d8c-8e5d-5eb353b07597,P,,,,,,,,,,,F,08/2002,NOBT,825,848,,a6da4241-2b65-4206-8a59-75b5f3462206,,N,825,,3,N,N,,175,2019-09-06 00:00:00,2019-09-30 00:00:00,2020-02-06 00:00:00,2020-08-31 00:00:00,N,914341351,,,,,2020-08-31 00:00:00,609
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,1c34abc4-3be4-4071-916e-2f0ecfa5e9d3,P,,,,,,,,,,,F,05/2002,NOBT,825,786,,53f12a52-445d-43ca-9b73-70f3e6d2c828,,N,,,3,N,N,,185,2019-09-06 00:00:00,2019-09-30 00:00:00,2020-02-27 00:00:00,2020-08-31 00:00:00,N,703718633,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,801c73ee-7b99-43d0-9f6d-ebc631adf6e2,P,,,,,,,,,,,M,05/2002,WBRI,825,,,5f611aed-520d-4e06-9fdc-cf892927a9ae,,N,,,3,Y,N,,321,2019-09-06 00:00:00,2019-09-30 00:00:00,2019-12-20 00:00:00,2020-08-31 00:00:00,N,798202857,,,,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,dece0991-81ee-4e54-b8ee-a31b269c1bcc,P,,,,,,,,,,,F,03/2004,NOBT,825,880,,c8c2d45b-8306-4df7-8993-813eecde1155,,N,825,,2,N,N,,149,2019-09-01 00:00:00,2019-09-26 00:00:00,2019-10-01 00:00:00,2020-08-31 00:00:00,N,700667607,,,2020-08-31 00:00:00,,,608
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,e247978d-01e6-4f03-94d0-88162aa4ab0f,P,,,,,,,,,,,F,11/2003,APKN,825,881,,066d4f48-e766-4781-891a-3102f15fdb2c,,N,,,3,N,N,,417,2019-09-06 00:00:00,2019-11-11 00:00:00,2020-02-21 00:00:00,2020-08-31 00:00:00,N,992538491,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,3a685d3d-fee3-47ec-b12c-37488cfaaa20,P,,,,,,,,,,,F,03/2004,NOBT,825,778,,30cd3a1c-2107-4160-a56a-d569e2cde926,,N,,,3,N,N,,341,2019-09-03 00:00:00,2019-11-11 00:00:00,2020-01-29 00:00:00,2020-08-31 00:00:00,N,675382977,,,,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,d508ffe9-10d7-468d-bd0e-aebeb3b9dcf8,T,,,,,,,,,,,M,02/2004,WBRI,825,,,,,N,,,2,Y,N,,520,2018-09-10 00:00:00,2020-02-29 00:00:00,2019-02-26 00:00:00,2019-08-31 00:00:00,N,856633435,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,23e1ab9d-f554-4f36-a298-40f3d41a758d,P,,,,,,,,,,,W,03/2003,WBRI,825,823,,,,N,,,3,N,N,,309,2019-09-01 00:00:00,2020-01-30 00:00:00,2020-02-21 00:00:00,2020-08-31 00:00:00,N,602699837,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,9a3d37f0-9604-4427-8811-0494325dd255,P,,,,,,,,,,,F,11/2001,WBRI,825,767,,15cde1d0-5f8c-44b4-83cd-344ac32cd2ca,,N,,,3,N,Y,,401,2019-09-06 00:00:00,2019-09-26 00:00:00,2020-02-21 00:00:00,2020-08-31 00:00:00,N,706736075,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,63e39749-c583-4bae-ac65-510bc7e84c18,P,,,,,,,,,,,M,09/2002,NOBT,825,750,,5800cd17-c7fe-474b-9a89-1ac024b117b1,,N,825,,3,N,N,,163,2019-09-06 00:00:00,2019-09-01 00:00:00,2020-02-27 00:00:00,2020-08-31 00:00:00,N,734656490,,,2020-08-31 00:00:00,,,608
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,1fa69103-43de-481f-8ea2-9cc7f0064af0,P,,,,,,,,,,,F,08/2004,NOBT,825,789,,3f33f5c0-5ee9-433b-8cb1-5a5cdf93fba5,,N,,,3,N,N,,210,2019-09-06 00:00:00,2019-09-30 00:00:00,2020-02-27 00:00:00,2020-08-31 00:00:00,N,718291096,,,2020-08-31 00:00:00,,,
468,825,2020-03-06 00:00:00,2020-02-29 00:00:00,CareerVision Ltd,3.3.4.7,1,6540c81e-ebe1-44ec-aedc-4addeab1e013,P,,,,,,,,,,,M,06/2004,NOBT,825,828,,368cef48-7394-45c6-ba4c-e16e96f591af,,N,825,,3,Y,N,,225,2019-09-01 00:00:00,2019-09-27 00:00:00,2020-02-24 00:00:00,2019-08-31 00:00:00,N,573476579,,,2020-08-31 00:00:00,,,606
